اسم الموظف,البريد الإلكتروني,الحركة,التاريخ,الوقت
yousef mohammed,yousef@gmail.com,تسجيل خروج,2026-07-21,11:03:12
yousef mohammed,yousef@gmail.com,تسجيل خروج,2026-07-21,11:03:13
ahmad khalil,a@gmail.com,تسجيل دخول,2026-07-21,11:11:40
ahmad khalil,a@gmail.com,تسجيل دخول,2026-07-21,11:11:41
ahmad khalil,a@gmail.com,تسجيل خروج,2026-07-21,11:11:42
ahmad khalil,a@gmail.com,تسجيل دخول,2026-07-21,11:16:19
alaa ahmad,alaa@gmail.com,تسجيل دخول,2026-07-21,11:16:35
alaa ahmad,alaa@gmail.com,تسجيل خروج,2026-07-21,11:16:37
alaa ahmad,alaa@gmail.com,تسجيل دخول,2026-07-21,11:16:51
alaa ahmad,alaa@gmail.com,تسجيل دخول,2026-07-21,11:16:51
alaa ahmad,alaa@gmail.com,تسجيل دخول,2026-07-21,11:16:52
alaa ahmad,alaa@gmail.com,تسجيل دخول,2026-07-21,11:16:52
alaa ahmad,alaa@gmail.com,تسجيل دخول,2026-07-21,11:16:53
alaa ahmad,alaa@gmail.com,تسجيل دخول,2026-07-21,11:16:53
alaa ahmad,alaa@gmail.com,تسجيل خروج,2026-07-21,11:16:55
alaa ahmad,alaa@gmail.com,تسجيل خروج,2026-07-21,11:16:56
alaa ahmad,alaa@gmail.com,تسجيل خروج,2026-07-21,11:16:57
faisal ahmad,f@gmail.com,تسجيل دخول,2026-07-21,11:38:47
faisal ahmad,f@gmail.com,تسجيل خروج,2026-07-21,11:38:48
faisal ahmad,f@gmail.com,تسجيل دخول,2026-07-21,11:39:54
yousef mohammed,yousef@gmail.com,تسجيل دخول,2026-07-21,11:40:29
yousef mohammed,yousef@gmail.com,تسجيل خروج,2026-07-21,11:40:31
yousef mohammed,yousef@gmail.com,تسجيل خروج,2026-07-21,11:40:33
غير معروف,test_user@nexuslink.com,تسجيل دخول,2026-07-21,11:54:25
غير معروف,test_user@nexuslink.com,تسجيل دخول,2026-07-21,11:57:16
غير معروف,test_user@nexuslink.com,تسجيل دخول,2026-07-21,12:02:32
faisal ahmad,f@gmail.com,تسجيل دخول,2026-07-21,12:05:06
faisal ahmad,f@gmail.com,تسجيل دخول,2026-07-21,12:05:08
faisal ahmad,f@gmail.com,تسجيل خروج,2026-07-21,12:05:10
faisal ahmad,f@gmail.com,تسجيل دخول,2026-07-21,12:06:51
faisal ahmad,f@gmail.com,تسجيل خروج,2026-07-21,12:06:52
غير معروف,test_user@nexuslink.com,تسجيل دخول,2026-07-21,12:30:48
غير معروف,test_user@nexuslink.com,تسجيل دخول,2026-07-21,12:31:26
faisal ahmad,f@gmail.com,تسجيل دخول,2026-07-21,12:34:14
غير معروف,test_user_10397@nexuslink.com,تسجيل دخول,2026-07-21,13:02:50
غير معروف,test_user_93636@nexuslink.com,تسجيل دخول,2026-07-21,13:12:00
غير معروف,test_user_28501@nexuslink.com,تسجيل دخول,2026-07-21,13:16:34
غير معروف,test_user_13208@nexuslink.com,تسجيل دخول,2026-07-21,13:20:56
e@gmail.cim,e@gmail.com,تسجيل خروج,2026-07-21,13:34:55
enAI,en@gmail.com,تسجيل دخول,2026-07-21,13:58:45
enAI,en@gmail.com,تسجيل خروج,2026-07-21,14:00:09
enAI,en@gmail.com,تسجيل دخول,2026-07-21,14:00:12
enAI,en@gmail.com,تسجيل دخول,2026-07-21,14:00:14
enAI,en@gmail.com,تسجيل دخول,2026-07-21,14:00:15
enAI,en@gmail.com,تسجيل دخول,2026-07-21,14:00:16
enAI,en@gmail.com,تسجيل خروج,2026-07-21,14:00:16
enAI,en@gmail.com,تسجيل خروج,2026-07-21,14:00:17
enAI,en@gmail.com,تسجيل خروج,2026-07-21,14:00:17
enAI,en@gmail.com,تسجيل خروج,2026-07-21,14:00:17
enAI,en@gmail.com,تسجيل خروج,2026-07-21,14:00:17
enAI,en@gmail.com,تسجيل خروج,2026-07-21,14:00:17
enAI,en@gmail.com,تسجيل دخول,2026-07-21,14:00:18
enAI,en@gmail.com,تسجيل دخول,2026-07-21,14:00:19
enAI,en@gmail.com,تسجيل دخول,2026-07-21,14:00:19
enAI,en@gmail.com,تسجيل دخول,2026-07-21,14:00:20
enAI,en@gmail.com,تسجيل دخول,2026-07-21,14:23:59
Test User,test_user_51450@nexuslink.com,تسجيل دخول,2026-07-21,14:26:49
 bush,bu@gmail.com,تسجيل دخول,2026-07-21,14:32:15
Test User,test_user_22376@nexuslink.com,تسجيل دخول,2026-07-21,15:20:08
فيصل احمد الرواضية,faisal2004@gmail.com,تسجيل دخول,2026-07-21,15:22:49
فيصل احمد الرواضية,faisal2004@gmail.com,تسجيل خروج,2026-07-21,15:23:56
فيصل احمد الرواضية,faisal2004@gmail.com,تسجيل دخول,2026-07-27,13:04:28
Test User,test_user_28386@nexuslink.com,تسجيل دخول,2026-07-27,13:42:39
Test User,test_user_54588@nexuslink.com,تسجيل دخول,2026-07-27,13:46:26
Test User,test_user_18579@nexuslink.com,تسجيل دخول,2026-07-27,13:48:30
Test User,test_user_48534@nexuslink.com,تسجيل دخول,2026-07-27,13:50:35
faisal ahmad,f@gmail.com,تسجيل خروج,2026-07-27,13:52:39
enAI,en@gmail.com,تسجيل دخول,2026-07-27,14:09:02
enAI,en@gmail.com,تسجيل خروج,2026-07-27,14:11:09
Test User,test_user_70622@nexuslink.com,تسجيل دخول,2026-07-27,14:28:30
Test User,test_user_12830@nexuslink.com,تسجيل دخول,2026-07-27,14:37:11
alaa ahmad,alaa@gmail.com,تسجيل دخول,2026-07-27,14:38:45
Test User,test_user_36783@nexuslink.com,تسجيل دخول,2026-07-27,14:47:37
Test User,test_user_32779@nexuslink.com,تسجيل دخول,2026-07-27,14:50:13
Test User,test_user_82384@nexuslink.com,تسجيل دخول,2026-07-27,14:52:19
Test User,test_user_55445@nexuslink.com,تسجيل دخول,2026-07-27,14:55:33
Test User,test_user_28200@nexuslink.com,تسجيل دخول,2026-07-27,14:58:08
Test User,test_user_76431@nexuslink.com,تسجيل دخول,2026-07-27,15:00:23
Test User,test_user_45170@nexuslink.com,تسجيل دخول,2026-07-27,15:04:16
Test User,test_user_83142@nexuslink.com,تسجيل دخول,2026-07-27,15:06:41
Test User,test_user_46000@nexuslink.com,تسجيل دخول,2026-07-27,15:08:16
Test User,test_user_92308@nexuslink.com,تسجيل دخول,2026-07-27,15:10:19
Test User,test_user_40314@nexuslink.com,تسجيل دخول,2026-07-27,15:11:46
anas,anas@gmail.com,تسجيل دخول,2026-07-27,15:12:35
ddddddddddddddddd,feefdcs@gmail.com,تسجيل دخول,2026-07-27,15:12:57
anas-ahmad,anas@gmail.com,تسجيل خروج,2026-07-27,15:14:27
Test User,test_user_77768@nexuslink.com,تسجيل دخول,2026-07-27,15:17:02
Test User,test_user_80578@nexuslink.com,تسجيل دخول,2026-07-27,15:24:43
Test User,test_user_90898@nexuslink.com,تسجيل دخول,2026-07-27,15:29:57
Test User,test_user_47457@nexuslink.com,تسجيل دخول,2026-07-27,15:33:41
Test User,test_user_37287@nexuslink.com,تسجيل دخول,2026-07-27,15:38:48
Test User,test_user_45961@nexuslink.com,تسجيل دخول,2026-07-27,15:42:35
Test User,test_user_79354@nexuslink.com,تسجيل دخول,2026-07-27,15:45:00
Test User,test_user_14337@nexuslink.com,تسجيل دخول,2026-07-27,15:49:07
Test User,test_user_13845@nexuslink.com,تسجيل دخول,2026-07-27,15:52:08
omar,omar@gmail.com,تسجيل دخول,2026-07-27,15:56:01
omar,omar@gmail.com,تسجيل خروج,2026-07-27,15:56:08
ahmad khalil,a@gmail.com,تسجيل دخول,2026-07-27,16:10:10
admin faisal,admin-faisal@gmail.com,تسجيل خروج,2026-07-27,16:11:24
admin faisal,admin-faisal@gmail.com,تسجيل دخول,2026-07-27,16:11:28
alaa ahmad,alaa@gmail.com,تسجيل خروج,2026-07-27,16:19:45
فيصل احمد الرواضية,faisal2004@gmail.com,تسجيل دخول,2026-07-29,15:02:23
فيصل احمد الرواضية,faisal2004@gmail.com,تسجيل خروج,2026-07-29,15:02:38
bush,bu@gmail.com,تسجيل دخول,2026-07-29,15:09:34
bush,bu@gmail.com,تسجيل دخول,2026-07-29,15:09:57
faisal ahmad,f@gmail.com,تسجيل دخول,2026-08-03,12:26:23
Test User,test_user_60124@nexuslink.com,تسجيل دخول,2026-08-03,12:35:10
Test User,test_user_60124@nexuslink.com,تسجيل دخول,2026-08-03,12:35:10
Test User,test_user_80134@nexuslink.com,تسجيل دخول,2026-08-03,12:52:41
Test User,test_user_80134@nexuslink.com,تسجيل دخول,2026-08-03,12:52:41
Test User,test_user_64010@nexuslink.com,تسجيل دخول,2026-08-03,12:57:45
Test User,test_user_64010@nexuslink.com,تسجيل دخول,2026-08-03,12:57:45
Test User,test_user_42109@nexuslink.com,تسجيل دخول,2026-08-03,13:02:11
Test User,test_user_42109@nexuslink.com,تسجيل دخول,2026-08-03,13:02:12
Test User,test_user_20749@nexuslink.com,تسجيل دخول,2026-08-03,13:04:56
Test User,test_user_20749@nexuslink.com,تسجيل دخول,2026-08-03,13:04:56
Test User,test_user_46120@nexuslink.com,تسجيل دخول,2026-08-03,13:15:02
Test User,test_user_46120@nexuslink.com,تسجيل دخول,2026-08-03,13:15:02
faisal ahmad,f@gmail.com,تسجيل خروج,2026-08-03,13:16:31
Test User,test_user_63172@nexuslink.com,تسجيل دخول,2026-08-03,13:41:00
Test User,test_user_63172@nexuslink.com,تسجيل دخول,2026-08-03,13:41:00
Test User,test_user_76975@nexuslink.com,تسجيل دخول,2026-08-03,13:48:15
Test User,test_user_76975@nexuslink.com,تسجيل دخول,2026-08-03,13:48:15
Test User,test_user_34825@nexuslink.com,تسجيل دخول,2026-08-03,13:52:08
Test User,test_user_34825@nexuslink.com,تسجيل دخول,2026-08-03,13:52:08
Test User,test_user_85901@nexuslink.com,تسجيل دخول,2026-08-03,15:29:40
Test User,test_user_85901@nexuslink.com,تسجيل دخول,2026-08-03,15:29:40
ahmad khalil,a@gmail.com,تسجيل دخول,2026-08-03,15:35:59
alaa ahmad,alaa@gmail.com,تسجيل دخول,2026-08-03,15:45:39
enAI,en@gmail.com,تسجيل دخول,2026-08-03,15:48:30
anas-ahmad,anas@gmail.com,تسجيل دخول,2026-08-03,15:50:53
faisal ahmad,f@gmail.com,تسجيل دخول,2026-08-05,13:01:42
faisal ahmad,f@gmail.com,تسجيل خروج,2026-08-05,13:01:48
ahmad khalil,a@gmail.com,تسجيل دخول,2026-08-05,13:59:26
alaa ahmad,alaa@gmail.com,تسجيل دخول,2026-08-05,14:03:12
alaa ahmad,alaa@gmail.com,تسجيل خروج,2026-08-05,14:03:18
faisal ahmad,f@gmail.com,تسجيل دخول,2026-08-06,10:23:06
faisal ahmad,f@gmail.com,تسجيل دخول,2026-08-10,12:05:55
faisal ahmad,f@gmail.com,تسجيل دخول,2026-08-11,12:15:41
فيصل احمد الرواضية,faisal2004@gmail.com,تسجيل دخول,2026-08-11,13:29:39
فيصل احمد الرواضية,faisal2004@gmail.com,تسجيل خروج,2026-08-11,13:29:42
alaa ahmad,alaa@gmail.com,تسجيل دخول,2026-08-11,14:07:56
faisal ahmad,f@gmail.com,تسجيل دخول,2026-08-12,09:52:46
faisal ahmad,f@gmail.com,تسجيل خروج,2026-08-12,09:57:54
ahmad khalil,a@gmail.com,تسجيل دخول,2026-08-12,09:58:26
ahmad khalil,a@gmail.com,تسجيل خروج,2026-08-12,10:11:35
Test User,test_user_29242@nexuslink.com,تسجيل دخول,2026-08-12,11:23:57
Test User,test_user_29242@nexuslink.com,تسجيل دخول,2026-08-12,11:23:57
Test User,test_user_14189@nexuslink.com,تسجيل دخول,2026-08-12,11:35:12
Test User,test_user_31614@nexuslink.com,تسجيل دخول,2026-08-12,11:37:12
Test User,test_user_48095@nexuslink.com,تسجيل دخول,2026-08-12,11:43:09
enAI,en@gmail.com,تسجيل دخول,2026-08-12,11:44:43
Test User,test_user_93454@nexuslink.com,تسجيل دخول,2026-08-12,11:46:47
Test User,test_user_35466@nexuslink.com,تسجيل دخول,2026-08-12,11:48:51
Test User,test_user_57287@nexuslink.com,تسجيل دخول,2026-08-12,11:51:44
Test User,test_user_30247@nexuslink.com,تسجيل دخول,2026-08-12,11:54:05
enAI,en@gmail.com,تسجيل خروج,2026-08-12,11:55:02
Test User,test_user_67213@nexuslink.com,تسجيل دخول,2026-08-12,11:56:02
alaa ahmad,alaa@gmail.com,تسجيل دخول,2026-08-12,11:58:54
Test User,test_user_51676@nexuslink.com,تسجيل دخول,2026-08-12,12:01:06
Test User,test_user_47363@nexuslink.com,تسجيل دخول,2026-08-12,12:03:46
Test User,test_user_45593@nexuslink.com,تسجيل دخول,2026-08-12,12:05:51
sereen,sereen@gmail.com,تسجيل دخول,2026-08-12,12:14:12
Test User,test_user_42944@nexuslink.com,تسجيل دخول,2026-08-12,14:49:16
Test User,test_user_48921@nexuslink.com,تسجيل دخول,2026-08-12,14:52:45
enAI,en@gmail.com,تسجيل دخول,2026-08-17,11:12:13
anas,anas@gmail.com,تسجيل دخول,2026-08-17,11:57:37
anas-ahmad,anas@gmail.com,تسجيل خروج,2026-08-17,12:48:07
Test User,test_user_66190@nexuslink.com,تسجيل دخول,2026-08-17,12:59:57
Test User,test_user_34663@nexuslink.com,تسجيل دخول,2026-08-17,13:06:09
enAI,en@gmail.com,تسجيل خروج,2026-08-17,13:25:21
faisal ahmad,f@gmail.com,تسجيل دخول,2026-08-19,09:16:17
Test User,test_user_64775@nexuslink.com,تسجيل دخول,2026-08-19,09:43:23
ahmad khalil,a@gmail.com,تسجيل دخول,2026-08-19,11:34:46
faisal ahmad,f@gmail.com,تسجيل خروج,2026-08-19,14:08:34
